ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Days_Since_Customer,Total_Spending,Income_segment,Spending_segment,Recency_segment
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,663,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,663,1617,Normal income,High spending,Inactive
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,113,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,113,27,Normal income,Low spending,Recent
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,312,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,312,776,High income,Normal spending,Moderate
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,139,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,139,53,Low income,Low spending,Recent
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,161,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,161,422,Normal income,Normal spending,Recent
7446,1967,Master,Together,62513.0,0,1,2013-09-09,293,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,293,716,Normal income,Normal spending,Moderate
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,593,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,593,590,Normal income,Normal spending,Inactive
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,417,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,417,169,Low income,Normal spending,Moderate
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,388,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,388,46,Low income,Low spending,Moderate
5899,1950,PhD,Together,5648.0,1,1,2014-03-13,108,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,108,49,Low income,Low spending,Recent
387,1976,Basic,Married,7500.0,0,0,2012-11-13,593,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,593,61,Low income,Low spending,Inactive
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,226,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,226,1102,High income,High spending,Recent
8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,226,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,226,310,Normal income,Normal spending,Recent
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,627,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,627,46,Low income,Low spending,Inactive
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,582,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,582,1315,High income,High spending,Inactive
9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,552,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,552,96,Normal income,Low spending,Inactive
4939,1946,Graduation,Together,37760.0,0,0,2012-08-31,667,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,667,317,Low income,Normal spending,Inactive
6565,1949,Master,Married,76995.0,0,1,2013-03-28,458,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,458,1782,High income,High spending,Moderate
2278,1985,2n Cycle,Single,33812.0,1,0,2012-11-03,603,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,603,133,Low income,Normal spending,Inactive
9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,690,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,690,316,Low income,Normal spending,Inactive
5376,1979,Graduation,Married,2447.0,1,0,2013-01-06,539,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,539,1730,Low income,High spending,Inactive
1993,1949,PhD,Married,58607.0,0,1,2012-12-23,553,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,553,972,Normal income,High spending,Inactive
4047,1954,PhD,Married,65324.0,0,1,2014-01-11,169,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,169,544,High income,Normal spending,Recent
1409,1951,Graduation,Together,40689.0,0,1,2013-03-18,468,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,468,444,Normal income,Normal spending,Moderate
7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,543,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,543,75,Low income,Low spending,Inactive
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,398,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,398,257,Normal income,Normal spending,Moderate
9422,1989,Graduation,Married,38360.0,1,0,2013-05-31,394,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,394,131,Low income,Normal spending,Moderate
1966,1965,PhD,Married,84618.0,0,0,2013-11-22,219,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,219,1672,High income,High spending,Recent
6864,1989,Master,Divorced,10979.0,0,0,2014-05-22,38,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,38,30,Low income,Low spending,Recent
3033,1963,Master,Together,38620.0,0,0,2013-05-11,414,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,414,318,Low income,Normal spending,Moderate
5710,1970,Graduation,Together,40548.0,0,1,2012-10-10,627,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,627,120,Normal income,Normal spending,Inactive
7373,1952,PhD,Divorced,46610.0,0,2,2012-10-29,608,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,608,302,Normal income,Normal spending,Inactive
8755,1946,Master,Married,68657.0,0,0,2013-02-20,494,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,494,1196,High income,High spending,Inactive
10738,1951,Master,Single,49389.0,1,1,2013-08-29,304,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,304,65,Normal income,Low spending,Moderate
4339,1970,PhD,Married,67353.0,0,1,2013-12-31,180,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,180,913,High income,High spending,Recent
10755,1976,2n Cycle,Married,23718.0,1,0,2013-09-02,300,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,300,81,Low income,Low spending,Moderate
8595,1973,Graduation,Widow,42429.0,0,1,2014-02-11,138,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,138,67,Normal income,Low spending,Recent
2968,1943,PhD,Divorced,48948.0,0,0,2013-02-01,513,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,513,902,Normal income,High spending,Inactive
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,426,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,426,1395,High income,High spending,Moderate
503,1985,Master,Married,20559.0,1,0,2013-03-12,474,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,474,53,Low income,Low spending,Inactive
8430,1957,Graduation,Together,21994.0,0,1,2012-12-24,552,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,552,22,Low income,Low spending,Inactive
2139,1975,Master,Married,7500.0,1,0,2013-10-02,270,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,270,31,Low income,Low spending,Moderate
1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,1,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,1,984,High income,High spending,Recent
9909,1996,2n Cycle,Married,7500.0,0,0,2012-11-09,597,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,597,122,Low income,Normal spending,Inactive
7286,1968,Graduation,Together,41728.0,1,0,2013-05-24,401,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,401,55,Normal income,Low spending,Moderate
6566,1954,PhD,Married,72550.0,1,1,2012-11-08,598,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,598,1319,High income,High spending,Inactive
8614,1957,Graduation,Widow,65486.0,0,1,2014-05-12,48,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,48,507,High income,Normal spending,Recent
4114,1964,Master,Married,79143.0,0,0,2012-08-11,687,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,687,1693,High income,High spending,Inactive
1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,543,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,543,72,Low income,Low spending,Inactive
2225,1977,Graduation,Divorced,82582.0,0,0,2014-06-07,22,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,22,1617,High income,High spending,Recent
9381,1978,Graduation,Married,66373.0,1,1,2013-06-12,382,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,382,606,High income,Normal spending,Moderate
6260,1955,Master,Together,82384.0,0,0,2012-11-19,587,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,587,1957,High income,High spending,Inactive
